agencyCode,agencyName,currentUII,investmentName,metricDescription,performanceMeasurementCategory,unitOfMeasure,reportingFrequency,agencyBaselineCapability,measurementCondition,target2022PY,target2023CY,dateOfLatestActualResult,latestActualResult,metTarget,isRetired,updatedTime
016,"Social Security Administration",016-000002807,"Rep Payee Legislation","Average response to End users think the delivered product/investment/project provides business value is 4 or higher","Customer Satisfaction","Average of response scores",Quarterly,0,"Over target",0,,,,,false,"2022-09-28 20:46:43"
016,"Social Security Administration",016-000002548,"Delivery Standard Investment","Percent of Agile development releases - Monthly","Strategic and Business Results",Percent,Monthly,50,"Over target",0,,,,,false,"2022-09-28 20:52:52"
014,"Department of State",014-000000018,"Joint Financial Management System (JFMS)","Interest Payments as a Percent of Total Eligible Payments for Prompt Pay","Financial Performance",percent,Monthly,0,"Under target",0.02,,2023-05-31,0,MET,false,"2023-07-31 13:12:58"
014,"Department of State",014-000000018,"Joint Financial Management System (JFMS)","Initial Transaction Rejects between Overseas and Domestic databases","Strategic and Business Results",percent,Monthly,0,"Under target",2.5,,2023-05-31,1.27,MET,false,"2023-07-31 13:12:57"
014,"Department of State",014-000000018,"Joint Financial Management System (JFMS)","Overall satisfaction rate of domestic systems users","Customer Satisfaction",percent,Annual,0,"Over target",80,,2023-05-31,85,MET,false,"2023-07-31 13:12:59"
014,"Department of State",014-000000377,"Integrated Security and Suitability System (Ice Cubed)","Ice Cubed availability as percent of uptime excluding planned outages","Strategic and Business Results",Percent,Monthly,0,"Over target",99.9,,,,,false,"2023-07-31 12:40:20"
014,"Department of State",014-000000377,"Integrated Security and Suitability System (Ice Cubed)","Percentage of survey respondents who are &quot;satisfied&quot; or &quot;very satisfied&quot; overall","Customer Satisfaction",Percent,Monthly,0,"Over target",90,,,,,false,"2023-07-31 12:40:19"
014,"Department of State",014-000000377,"Integrated Security and Suitability System (Ice Cubed)","Percent of workflow issues that are fixable by configuration changes","Strategic and Business Results",Percent,Semi-Annual,0,"Over target",90,,,,,false,"2023-07-31 12:40:19"
014,"Department of State",014-000000377,"Integrated Security and Suitability System (Ice Cubed)","Percentage of expendables items issued data in Ice Cubed","Strategic and Business Results",Percentage,Semi-Annual,0,"Over target",0,,,,,false,"2023-07-31 12:40:18"
014,"Department of State",014-000000377,"Integrated Security and Suitability System (Ice Cubed)","Help desk cost per incident","Financial Performance","Dollars per incident",Semi-Annual,0,"Under target",56,,,,,false,"2023-07-31 12:40:18"
014,"Department of State",014-000000377,"Integrated Security and Suitability System (Ice Cubed)","Help desk cost per user","Financial Performance","Dollars per user",Annual,0,"Under target",0,,,,,false,"2023-07-31 12:40:17"
014,"Department of State",014-000000377,"Integrated Security and Suitability System (Ice Cubed)",Redesign,"Customer Satisfaction","it transformation",Monthly,0,"Over target",100,,,,,false,"2023-07-31 12:40:17"
014,"Department of State",014-000000483,"Contact Relationship Management (CRM)","Development team meets sprint schedule per Acceptable Quality Levels","Strategic and Business Results",%,Monthly,0,"Over target",85,,2022-08-16,80,"NOT MET",false,"2023-07-31 11:24:47"
014,"Department of State",014-000000483,"Contact Relationship Management (CRM)","SF Enterprise and the CRM Asset secure and maintain Moderate ATO","Strategic and Business Results",%,Annual,0,"Over target",90,,2022-03-18,100,MET,false,"2023-07-31 11:24:42"
014,"Department of State",014-000000024,"Integrated Personnel Management System (IPMS)","Percentage of IPMS uptime (scheduled - GEMS)","Strategic and Business Results",percent,Monthly,0,"Over target",99,,2023-06-28,100,MET,false,"2023-07-31 12:37:59"
014,"Department of State",014-000000018,"Joint Financial Management System (JFMS)","Overall satisfaction rate of overseas systems users","Customer Satisfaction",percent,Annual,0,"Over target",80,,2023-05-31,87,MET,false,"2023-07-31 13:12:56"
014,"Department of State",014-000000329,"Foreign Assistance Coordination and Tracking System (FACTS)","Percentage of system availability, enabling global users to readily access, update, and/or analyze State and USAID foreign assistance budget and reporting data","Strategic and Business Results",Percentage,Monthly,0,"Over target",98,,2022-06-30,100,MET,false,"2023-07-31 11:47:54"
014,"Department of State",014-000000029,"Global Foreign Affairs Compensation System (GFACS)","Percent of employee payments made by scheduled pay date.","Customer Satisfaction",percent,Semi-Annual,0,"Over target",97,,,,,false,"2023-07-31 11:53:37"
014,"Department of State",014-000000029,"Global Foreign Affairs Compensation System (GFACS)","# of Civilian Agencies with locally employed staff paid using a COTS product","Strategic and Business Results",number,Semi-Annual,0,"Over target",25,,,,,false,"2023-07-31 11:53:36"
014,"Department of State",014-000000029,"Global Foreign Affairs Compensation System (GFACS)","Percentage of Section 508 compliant payroll systems","Strategic and Business Results",percent,Monthly,0,"Over target",25,,2021-09-30,100,N/A,false,"2023-07-31 11:54:00"
014,"Department of State",014-000000029,"Global Foreign Affairs Compensation System (GFACS)","Percent available online during M-F business hours","Strategic and Business Results",percent,Semi-Annual,0,"Over target",98,,,,,false,"2023-07-31 11:53:35"
014,"Department of State",014-000000029,"Global Foreign Affairs Compensation System (GFACS)","Number of payroll systems operated and maintained","Financial Performance",number,Semi-Annual,0,"Under target",2,,,,,false,"2023-07-31 11:53:35"
014,"Department of State",014-000000329,"Foreign Assistance Coordination and Tracking System (FACTS)","Percentage of user help desk tickets responded to within 24 hours (excluding weekend/holidays), ensuring that global users have a continuous and reliable system experience","Strategic and Business Results",Percentage,Semi-Annual,0,"Over target",90,,2022-04-30,100,MET,false,"2023-07-31 11:47:51"
014,"Department of State",014-000000329,"Foreign Assistance Coordination and Tracking System (FACTS)","Percentage of Customer Survey respondents rating their use of the FACTS system as satisfactory or above, confirming that global user needs are met by the system.","Customer Satisfaction",Percentage,Semi-Annual,0,"Over target",80,,2022-05-31,82.48,MET,false,"2023-07-31 11:47:51"
014,"Department of State",014-000000474,"Consular Service Production Systems","Percentage of the Investment's total FY funds obligated vs total baselined FY budget  ","Financial Performance",Percentage,Annual,0,"Over target",91,,2023-01-31,99.9,MET,false,"2023-07-31 11:09:48"
014,"Department of State",014-000000032,"Consular Systems Modernization","% of requests delivered within the business day limit of the Ad Hoc Reporting SLA for Enterprise Reporting system ","Customer Satisfaction",Percentage,Monthly,0,"Over target",95,,2023-05-31,100,MET,false,"2023-07-31 11:18:43"
014,"Department of State",014-000000039,"Application Services","Average of all customer satisfaction ratings for all surveys at the point of measurement.","Customer Satisfaction",Scale,Monthly,0,"Over target",4,,2023-06-30,4.67,MET,false,"2023-07-31 10:22:26"
014,"Department of State",014-000000039,"Application Services","Mean Time between Failure (in hours) [unplanned]","Strategic and Business Results",Hours,Monthly,0,"Over target",504,,2023-06-30,36743,MET,false,"2023-07-31 10:22:24"
014,"Department of State",014-000000039,"Application Services","Percentage of tickets completed within 24 hours for High Priority tickets (Tier 1 and 2)","Strategic and Business Results",Percent,Monthly,0,"Over target",90,,2023-06-30,100,MET,false,"2023-07-31 10:22:25"
014,"Department of State",014-000000039,"Application Services","Percentage of tickets completed within 24 hours for all ticket categories (Tier 1 and 2)","Strategic and Business Results",Percent,Monthly,0,"Over target",90,,2023-06-30,96.36,MET,false,"2023-07-31 10:22:25"
014,"Department of State",014-000000039,"Application Services","iPost score captured on 1st of each month; averaged across quarter (0-150+).","Strategic and Business Results",Scale,Monthly,0,"Under target",35,,2023-06-30,17.28,MET,false,"2023-07-31 10:22:24"
014,"Department of State",014-000000202,"OBO Real Property","% of critical system requirements responded to within 30 days","Strategic and Business Results",Percent,Monthly,0,"Over target",90,,2021-12-01,100,MET,false,"2023-07-31 13:17:44"
014,"Department of State",014-000000474,"Consular Service Production Systems","Decrease the Average cost of processing a passport year-over-year","Financial Performance",Percentage,Annual,0,"Over target",6,,2022-02-28,100,MET,true,"2023-01-03 15:59:23"
014,"Department of State",014-000000032,"Consular Systems Modernization","24x7 availability of the Enterprise Payment System for collecting payments from Consular Affairs users both domestically and overseas","Strategic and Business Results",Percentage,Monthly,0,"Over target",99.2,,2023-06-30,100,MET,false,"2023-07-31 11:18:46"
014,"Department of State",014-000000024,"Integrated Personnel Management System (IPMS)","Percent of Central Fund PY expenditures vs PY obligations","Financial Performance",percent,Annual,0,"Over target",97,,2022-09-30,100,MET,false,"2023-07-31 12:37:52"
014,"Department of State",014-000000039,"Application Services","Quarterly O&M Spending should be within allocated funding limitation","Financial Performance",Boolean,Quarterly,0,"Over target",1,,2023-06-30,1,MET,false,"2023-07-31 10:22:26"
014,"Department of State",014-000000477,"Centralized Data Collection and Integration System (CDCIS)","Average time (days) to fulfillment for new approved customer backlog requests","Strategic and Business Results",Number,Semi-Annual,0,"Under target",100,,,,,false,"2023-07-31 11:06:40"
014,"Department of State",014-000000477,"Centralized Data Collection and Integration System (CDCIS)","Percentage of Tier 1 help desk contacts responded to within 4 hours","Strategic and Business Results",Percent,Semi-Annual,0,"Over target",96,,,,,false,"2023-07-31 11:06:40"
014,"Department of State",014-000000477,"Centralized Data Collection and Integration System (CDCIS)","Average help desk cost per user","Financial Performance","Dollars per user",Annual,0,"Under target",18,,,,,false,"2023-07-31 11:06:46"
014,"Department of State",014-000000477,"Centralized Data Collection and Integration System (CDCIS)","Percentage of End Users rating their use of the system as satisfactory or above","Customer Satisfaction",Percent,Annual,0,"Over target",65,,,,,false,"2023-07-31 11:06:47"
014,"Department of State",014-000000477,"Centralized Data Collection and Integration System (CDCIS)","Percentage of system availability of uptime excluding planned outages","Strategic and Business Results",Percent,Monthly,0,"Over target",98,,2022-08-24,100,MET,false,"2023-07-31 11:07:09"
014,"Department of State",014-000000329,"Foreign Assistance Coordination and Tracking System (FACTS)","Number of months where the Program's Earned Value Management (EVM) tolerance measures within 10 percent of planned costs","Financial Performance",Number,Monthly,0,"Over target",11,,2022-05-31,11,MET,false,"2023-07-31 11:47:44"
014,"Department of State",014-000000200,"Data Analytics Center of Excellence","Save the Department $1 million dollars through the centralization of IT software and platform procurement.","Financial Performance","Dollar amount saved",Annual,0,"Over target",1,,2021-09-30,4800000,N/A,false,"2023-07-31 11:39:53"
014,"Department of State",014-000000012,"Integrated Logistics Management System (ILMS)","ILMS availability as percent of uptime excluding planned outages","Strategic and Business Results",Percent,Monthly,0,"Over target",99.9,,2023-06-30,99.88,"NOT MET",false,"2023-07-31 12:12:53"
014,"Department of State",014-000000012,"Integrated Logistics Management System (ILMS)","Percentage of survey respondents who are &quot;satisfied&quot; or &quot;very satisfied&quot; overall","Strategic and Business Results",Percent,Monthly,85,"Over target",90,,2023-06-30,100,MET,false,"2023-07-31 12:12:53"
014,"Department of State",014-000000012,"Integrated Logistics Management System (ILMS)","Number of successful pilots delivering innovative capabilities ",Innovation,Number,Annual,0,"Over target",1,,2022-09-30,4,MET,false,"2023-07-31 12:12:37"
014,"Department of State",014-000000524,"Integrated Health Electronic Records Systems (iHERS)","O&M costs for iHERS activities shall not exceed 105% of Projected costs","Financial Performance",Percentage,Annual,0,"Under target",105,,2022-09-30,30,N/A,false,"2023-07-31 12:05:18"
014,"Department of State",014-000000536,"Budget Formulation Planning System (BFPS)","Bureau Cross-Cutting Management Objective 4.3: Implement modernized and better-integrated budget and performance IT systems.","Strategic and Business Results","% Complete",Monthly,0,"Over target",100,,,,,false,"2023-07-31 10:30:45"
014,"Department of State",014-000000536,"Budget Formulation Planning System (BFPS)","Bureau Cross-Cutting Management Objective 4.1: Model an innovative, collaborative, connected, and inclusive organizational culture through the empowerment of a skilled, diverse BP workforce.","Customer Satisfaction","Milestones ",Annual,0,"Over target",100,,,,,false,"2023-07-31 10:30:45"
014,"Department of State",014-000000536,"Budget Formulation Planning System (BFPS)","Produce definitive and data-driven budget, planning, and performance recommendations and results that advance the Department’s strategic priorities.","Financial Performance",Milestones,Annual,0,"Over target",100,,,,,false,"2023-07-31 10:30:46"
014,"Department of State",014-000000024,"Integrated Personnel Management System (IPMS)","Percentage of Successfully deployed CR/SCR for IPMS scheduled software releases.","Strategic and Business Results",percent,Quarterly,0,"Over target",95,,2022-06-23,123.1,MET,false,"2023-07-31 12:37:44"
014,"Department of State",014-000000329,"Foreign Assistance Coordination and Tracking System (FACTS)","Percentage of users rating the quality of FACTS system training as satisfactory or above, ensuring that global users are well equipped to perform State and USAID foreign assistance data related functions via the system","Customer Satisfaction",Percentage,Quarterly,0,"Over target",80,,2022-07-31,82.65,MET,false,"2023-07-31 11:47:50"
014,"Department of State",014-000000329,"Foreign Assistance Coordination and Tracking System (FACTS)","Number of vulnerability scans completed on the NextGen system in order to identify and monitor potential threats to the confidentiality, integrity, and availability of State and USAID foreign assistance data","Strategic and Business Results",Number,Monthly,0,"Over target",1,,2022-07-31,2,MET,false,"2023-07-31 11:47:48"
014,"Department of State",014-000000329,"Foreign Assistance Coordination and Tracking System (FACTS)","Percentage of positive, high risk security scan vulnerabilities mitigated, thereby safeguarding State and USAID foreign assistance data","Strategic and Business Results",Percentage,Semi-Annual,0,"Over target",75,,2022-07-31,100,MET,false,"2022-10-31 14:17:14"
014,"Department of State",014-000000018,"Joint Financial Management System (JFMS)","Timely delivery of Daily GFMS Payments scheduled to pay","Strategic and Business Results",percent,Monthly,0,"Over target",100,,2023-05-31,100,MET,false,"2023-07-31 13:13:02"
014,"Department of State",014-000000018,"Joint Financial Management System (JFMS)","Timely delivery of monthly reports and payments (by 3rd business day of following month)","Strategic and Business Results",percent,Monthly,0,"Over target",100,,2023-05-31,100,MET,false,"2023-07-31 13:13:01"
014,"Department of State",014-000000018,"Joint Financial Management System (JFMS)","Timely resolution of rejected EFT items (within 48 hours)","Strategic and Business Results",percent,Monthly,0,"Over target",99,,2023-05-31,100,MET,false,"2023-07-31 13:13:00"
014,"Department of State",014-000000018,"Joint Financial Management System (JFMS)","Percent of total bank accounts reconciled by month end","Strategic and Business Results",percent,Monthly,0,"Over target",100,,2023-05-31,100,MET,false,"2023-07-31 13:12:59"
014,"Department of State",014-000000012,"Integrated Logistics Management System (ILMS)","Average number of User Sessions on ILMS Analytics Portal","Strategic and Business Results",Number,Semi-Annual,0,"Over target",4500,,2023-03-31,9791,MET,false,"2023-07-31 12:12:49"
014,"Department of State",014-000000474,"Consular Service Production Systems","Percentage of emails received from the Passport Web Mailbox that did not require CST Development Team action","Customer Satisfaction",Percentage,Monthly,0,"Over target",95.5,,2023-06-30,98.65,MET,false,"2023-07-31 11:10:33"
014,"Department of State",014-000000474,"Consular Service Production Systems","Average processing time for an application in the Non-Immigrant Visa System","Strategic and Business Results",Days,Quarterly,0,"Under target",39,,2023-04-30,77.7,"NOT MET",false,"2023-07-31 11:10:31"
014,"Department of State",014-000000024,"Integrated Personnel Management System (IPMS)","iPOST Grade of an ""B"" or better based on Department grading scale","Strategic and Business Results",grade,Quarterly,0,"Under target",64,,2023-06-28,36.8,MET,false,"2023-07-31 12:38:00"
014,"Department of State",014-000000012,"Integrated Logistics Management System (ILMS)","Percentage of survey respondents who are satisfied with how their issue was managed by the ILMS Customer Support Desk.","Customer Satisfaction",Percent,Monthly,0,"Over target",85,,2023-06-30,96,MET,false,"2023-07-31 12:12:54"
014,"Department of State",014-000000003,"Budget System Modernization (BSM)","Percent of Support provided by Tier 1 and 2, not 3","Customer Satisfaction",percent,Quarterly,0,"Under target",75,,2019-09-30,25,N/A,false,"2023-07-31 10:53:24"
014,"Department of State",014-000000012,"Integrated Logistics Management System (ILMS)","Help desk cost per incident","Financial Performance","Dollars per incident",Annual,60,"Under target",56,,2022-09-30,45.88,MET,false,"2023-07-31 12:12:38"
014,"Department of State",014-000000021,"IRMS Operations and Maintenance","% of critical system requirements responded to within 30 days","Strategic and Business Results",Percent,Monthly,0,"Over target",90,,2021-11-30,100,MET,false,"2023-07-31 13:03:30"
014,"Department of State",014-000000021,"IRMS Operations and Maintenance","% service contracts executed within 5% variance of budget","Financial Performance",Percent,Semi-Annual,0,"Over target",90,,2021-10-01,100,MET,false,"2023-07-31 13:03:27"
014,"Department of State",014-000000021,"IRMS Operations and Maintenance","% of systems with 99% uptime","Strategic and Business Results",Percent,Semi-Annual,0,"Over target",90,,2021-10-01,100,MET,false,"2023-07-31 13:03:28"
014,"Department of State",014-000000021,"IRMS Operations and Maintenance","% of systems in compliance with Dept. security policies","Strategic and Business Results",Percent,Semi-Annual,0,"Over target",90,,2021-10-01,100,MET,false,"2023-07-31 13:03:28"
014,"Department of State",014-000000021,"IRMS Operations and Maintenance","% reported support calls resolved within defined SLAs","Customer Satisfaction",Percent,Semi-Annual,0,"Over target",90,,2021-10-01,100,MET,false,"2023-07-31 13:03:29"
014,"Department of State",014-000000474,"Consular Service Production Systems","Percentage of average monthly enrollment in the STEP program","Strategic and Business Results",Percentage,Monthly,0,"Over target",2,,2023-06-30,0.15,"NOT MET",false,"2023-07-31 11:10:34"
014,"Department of State",014-000000474,"Consular Service Production Systems","Percentage of visas that required rework in the NIV system","Strategic and Business Results",Percentage,Annual,0,"Under target",10,,2021-09-30,10.5,N/A,false,"2023-07-31 11:09:49"
014,"Department of State",014-000000524,"Integrated Health Electronic Records Systems (iHERS)","Secure Messaging Portal- number of active MED accounts in Kiteworks increases by 20 each month",Innovation,Number,Monthly,0,"Over target",20,,2023-05-31,111,MET,false,"2023-07-31 12:05:33"
014,"Department of State",014-000000032,"Consular Systems Modernization","Number of additional government FTE resources supporting the investment ","Strategic and Business Results",Number,Annual,0,"Over target",1,,2021-09-30,1,N/A,false,"2023-07-31 11:18:24"
014,"Department of State",014-000000524,"Integrated Health Electronic Records Systems (iHERS)","eMed & MCI System uptime percentage.","Customer Satisfaction",Percentage,Monthly,0,"Over target",99.6,,2023-05-31,99.88,MET,false,"2023-07-31 12:05:31"
014,"Department of State",014-000000524,"Integrated Health Electronic Records Systems (iHERS)","% of Class 2 and 5 limiting medical conditions documented in eMed","Strategic and Business Results",Percentage,Annual,0,"Over target",95,,2022-09-30,95,MET,false,"2023-07-31 12:05:18"
014,"Department of State",014-000000524,"Integrated Health Electronic Records Systems (iHERS)","Number of new patients with electronic immunization record per month","Strategic and Business Results",Number,Monthly,0,"Over target",130,,2022-12-31,124,"NOT MET",false,"2023-07-31 12:05:25"
014,"Department of State",014-000000524,"Integrated Health Electronic Records Systems (iHERS)","In Clearance/HR Post Approval portal, average number of days between CDO entering employee's desired Posts and Clearances entering Assessment (Approved or Not Approved)","Strategic and Business Results",Percentage,Monthly,0,"Under target",30,,2022-12-31,26.46,MET,false,"2023-07-31 12:05:24"
014,"Department of State",014-000000024,"Integrated Personnel Management System (IPMS)","Service Level Objectives for met for HR Help Desk","Customer Satisfaction",percent,Monthly,0,"Over target",97,,2021-02-28,94.79,N/A,false,"2023-07-31 12:37:26"
014,"Department of State",014-000000032,"Consular Systems Modernization","Percentage of the Investment's total FY funds obligated vs total baselined FY budget  ","Financial Performance",Percentage,Annual,90,"Over target",91,,2023-01-31,99.9,MET,false,"2023-07-31 11:18:35"
014,"Department of State",014-000000200,"Data Analytics Center of Excellence","Source 5 “deliver, partner, and/or advise” service offerings via targeted Bureau outreach to build buy-in.","Customer Satisfaction","# of products",Annual,0,"Over target",20,,2021-09-30,30,N/A,true,"2023-01-03 15:32:22"
014,"Department of State",014-000000477,"Centralized Data Collection and Integration System (CDCIS)","Percentage of survey respondents who are satisfied with how their issue was managed by the help desk","Strategic and Business Results",Percent,Annual,0,"Over target",75,,,,,false,"2023-07-31 11:06:39"
014,"Department of State",014-000000200,"Data Analytics Center of Excellence","Partner with 2-3 bureaus or offices to solve their policy and management questions and successfully transition the solutions and/or studies to the partner bureau or office.","Strategic and Business Results","# of engagements",Annual,0,"Over target",5,,2021-09-30,16,N/A,true,"2023-01-03 15:32:20"
014,"Department of State",014-000000200,"Data Analytics Center of Excellence","Advise 5 bureaus or offices through sharing of resources, templates, consults and/or existing analytics solutions. ","Strategic and Business Results","# of engagements",Annual,0,"Over target",10,,2021-09-30,70,N/A,true,"2023-01-03 15:32:21"
014,"Department of State",014-000000200,"Data Analytics Center of Excellence","Catalyze data quality efforts by identifying at least 10 data quality challenges in core systems and recommending solutions to a governance body.","Strategic and Business Results","# of engagements",Annual,0,"Over target",15,,2021-09-30,30,N/A,true,"2023-01-03 15:32:21"
014,"Department of State",014-000000483,"Contact Relationship Management (CRM)","Customer satisfaction (Help Desk)","Customer Satisfaction",%,Monthly,0,"Over target",90,,2022-08-16,95,MET,false,"2023-07-31 11:24:49"
014,"Department of State",014-000000483,"Contact Relationship Management (CRM)","Users are sending an email from CRM ","Strategic and Business Results",%,Quarterly,0,"Over target",75,,2022-03-31,26,"NOT MET",false,"2023-07-31 11:24:37"
014,"Department of State",014-000000483,"Contact Relationship Management (CRM)","Users are managing Events at least once a quarter",Innovation,%,Quarterly,0,"Over target",75,,2022-03-31,81,MET,false,"2023-07-31 11:24:38"
014,"Department of State",014-000000483,"Contact Relationship Management (CRM)","Cost Performance Index asessment of earned value for CRM development","Financial Performance",%,Annual,0,"Over target",90,,2021-09-30,102,N/A,false,"2023-07-31 11:24:35"
014,"Department of State",014-000000033,"Refugee & Migrant Assistance Management","This metric is used to determine cost efficiencies of modernizing our technology.","Financial Performance","Dollars saved",Annual,0,"Over target",300000,,2021-11-08,500000,MET,false,"2023-02-28 16:12:12"
014,"Department of State",014-000000033,"Refugee & Migrant Assistance Management","This metric measures user satisfactor with PRM's refugee case management system.","Customer Satisfaction","Number of Help Desk tickets resolved",Annual,0,"Under target",5000,,2021-11-08,5000,"NOT MET",false,"2023-02-28 16:12:09"
014,"Department of State",014-000000033,"Refugee & Migrant Assistance Management","This metric is used to determine effectiveness of case management system in achieving Presidential Determination for refugees.","Strategic and Business Results","Number of refugee arrivals",Annual,0,"Under target",18000,,2021-11-08,14411,MET,false,"2023-02-28 16:12:10"
014,"Department of State",014-000000033,"Refugee & Migrant Assistance Management","This metric is used to measure PRM's case management system's ability to support US policy and evidence-based poilcy-making.","Strategic and Business Results","Number of reports created at staheholder request.",Monthly,0,"Over target",500,,2021-11-08,601,MET,false,"2023-02-28 16:12:12"
014,"Department of State",014-000000033,"Refugee & Migrant Assistance Management","This metric is one measure to assess security of refugee data and the US Refugee Admissions Program.","Strategic and Business Results","Number of system users",Quarterly,0,"Under target",2000,,2021-11-08,2000,MET,false,"2023-02-28 16:12:11"
014,"Department of State",014-000000477,"Centralized Data Collection and Integration System (CDCIS)","Number of users enabled with mobile access to system",Innovation,Number,Annual,0,"Over target",5000,,,,,false,"2023-07-31 11:06:39"
014,"Department of State",014-000000200,"Data Analytics Center of Excellence","Solve 1 policy or management challenges monthly by creating data and analytics solutions and/or studies to inform decision-making. ","Strategic and Business Results","# of products",Monthly,0,"Over target",1,,2021-09-30,2,N/A,true,"2023-01-03 15:32:16"
014,"Department of State",014-000000032,"Consular Systems Modernization","% Service Now Tickets Resolved < 14 Days","Strategic and Business Results",Days,Monthly,0,"Over target",90,,2023-06-30,65,"NOT MET",false,"2023-07-31 11:18:46"
014,"Department of State",014-000000202,"OBO Real Property","% service contracts executed within 5% variance of budget","Financial Performance",Percent,Semi-Annual,0,"Over target",95,,,,,false,"2023-07-31 13:17:21"
014,"Department of State",014-000000202,"OBO Real Property","% of systems with 99% uptime","Customer Satisfaction",Percent,Semi-Annual,0,"Over target",95,,,,,false,"2023-07-31 13:17:22"
014,"Department of State",014-000000202,"OBO Real Property","% of systems in compliance with Dept. security policies","Strategic and Business Results",Percent,Semi-Annual,0,"Over target",95,,,,,false,"2023-07-31 13:17:23"
014,"Department of State",014-000000202,"OBO Real Property","% reported support calls resolved within defined SLAs","Strategic and Business Results",Percent,Semi-Annual,0,"Over target",95,,,,,false,"2023-07-31 13:17:24"
014,"Department of State",014-000000003,"Budget System Modernization (BSM)","Number of reports built that contain both financial management system and new budget system information ","Strategic and Business Results",number,Annual,0,"Over target",1,,2019-09-30,0,N/A,false,"2023-07-31 10:53:25"
014,"Department of State",014-000000003,"Budget System Modernization (BSM)","Percent new budget system available online during M-F business hours","Strategic and Business Results",percent,Annual,0,"Over target",98,,2019-09-30,100,N/A,false,"2023-07-31 10:53:24"
014,"Department of State",014-000000003,"Budget System Modernization (BSM)","Percent of new budget system processes that have the ability to add attachments to business events","Customer Satisfaction",percent,Annual,0,"Over target",100,,2019-09-30,80,N/A,true,"2023-01-03 16:51:53"
014,"Department of State",014-000000003,"Budget System Modernization (BSM)","Percent of transactions successfully transmitted to GFMS from the new budget system","Strategic and Business Results",percent,Monthly,0,"Over target",99,,,,,false,"2023-07-31 10:53:20"
014,"Department of State",014-000000003,"Budget System Modernization (BSM)","Number of budget system modules operated and maintained","Financial Performance",number,Annual,0,"Over target",4,,2019-09-30,2,N/A,false,"2023-07-31 10:53:26"
015,"Department of the Treasury",015-000000034,"Automated Standard Application for Payments (ASAP)","Percent of ASAP ACH payments made accurately (i.e., as directed by Federal program agency and payment recipient) and on time (i.e., based on requested settlement date).

Meet or exceed 99.99% of accuracy and timeliness for all FPA approved ASAP EFT payments.

Metric supports the Bureau of the Fiscal Services strategic goal of Timely, Accurate and Efficient Disbursement of Federal Payments.","Strategic and Business Results",Percent,Monthly,0,"Over target",99.99,,2023-07-31,100,MET,false,"2023-08-29 16:28:08"
015,"Department of the Treasury",015-000000034,"Automated Standard Application for Payments (ASAP)","Percent of ASAP Fedwire payments made accurately (i.e., as directed by Federal program agency and payment recipient) and on time (i.e., based on requested settlement date).

Meet or exceed 99.99% of accuracy and timeliness for all FPA approved ASAP EFT payments.

Metric supports the Bureau of the Fiscal Services strategic goal of Timely, Accurate and Efficient Disbursement of Federal Payments.","Financial Performance",Percent,Monthly,0,"Over target",99.99,,2023-07-31,100,MET,false,"2023-08-29 16:28:08"
015,"Department of the Treasury",015-000000034,"Automated Standard Application for Payments (ASAP)","Percent of ASAP Help Desk Tier I support calls resolved. 

Resolve at least 98% of all end users issues that the help desk receives. 

Metric supports the Bureau of the Fiscal Services performance measure to indicate an overall service rating of satisfactory or better in customer service.","Customer Satisfaction",Percent,Monthly,0,"Over target",98,,2023-07-31,100,MET,false,"2023-08-29 16:28:09"
015,"Department of the Treasury",015-000200137,"Revenue Collections Support Services (RCSS)","CIR - Percentage of time CIR is available to customers during normal processing time","Strategic and Business Results",Percentage,Monthly,0,"Over target",99,,2023-07-31,100,MET,false,"2023-08-31 08:59:34"
015,"Department of the Treasury",015-000200137,"Revenue Collections Support Services (RCSS)","CMIAS - Users enrolled within 4 business days of receipt Rules of Behavior form","Customer Satisfaction","percentage enrolled",Quarterly,0,"Over target",85,,2023-01-11,85,MET,false,"2023-01-26 08:37:12"
015,"Department of the Treasury",015-000200137,"Revenue Collections Support Services (RCSS)","CIR - Percentage of calls answered in less than 40 seconds","Customer Satisfaction",seconds,Monthly,0,"Over target",80,,2023-07-31,90.9,MET,false,"2023-08-31 08:59:33"
015,"Department of the Treasury",015-000000019,"Integrated Submission and Remittance Processing System (ISRP)","Scanner/ Transport HARDWARE Response Timeliness – Percentage of Priority Trouble Tickets (P1) Maintenance Response within 2 hours.","Strategic and Business Results",Percent,Monthly,0,"Over target",97,,2023-07-31,100,MET,false,"2023-08-22 10:35:45"
015,"Department of the Treasury",015-000000027,"Integrated Financial System/CORE Financial System (IFS)","Complete System Refreshes & Stand up Test Environment
to support Quarterly Regression Testing and Yearly Year
End Close Mock Testing","Customer Satisfaction",Percentage,Quarterly,0,"Over target",100,,2023-07-31,100,MET,false,"2023-08-22 10:35:57"
015,"Department of the Treasury",015-000000027,"Integrated Financial System/CORE Financial System (IFS)","Percentage of timely implementation of IFS Monthly
Releases per IFS Release Schedule. Release should
complete within 2 calendar days deployment window.","Strategic and Business Results",Percentage,Monthly,0,"Over target",100,,2023-07-31,100,MET,false,"2023-08-22 10:35:56"
